iShares MSCI ACWI ETF
Fund Holdings as of,"Sep 21, 2026"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"206,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"6857","ADVANTEST","Information Technology","Equity","47,583,997.46","0.14","47,583,997.46","233,800.00","203.52","Japan","Tokyo Stock Exchange","USD","157.48","JPY","-"
"9984","SOFTBANK GROUP","Communication","Equity","47,347,963.17","0.14","47,347,963.17","1,180,700.00","40.10","Japan","Tokyo Stock Exchange","USD","157.48","JPY","-"
"IBE","IBERDROLA","Utilities","Equity","46,605,975.92","0.14","46,605,975.92","2,001,099.00","23.29","Spain","Bolsa De Madrid","USD","0.87","EUR","-"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","46,340,117.48","0.14","46,340,117.48","420,600.00","110.18","Japan","Tokyo Stock Exchange","USD","157.48","JPY","-"
"TJX","TJX","Consumer Discretionary","Equity","45,828,404.32","0.14","45,828,404.32","349,942.00","130.96","United States","NYSE","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL","Health Care","Equity","45,278,406.15","0.14","45,278,406.15","112,731.00","401.65","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW","Information Technology","Equity","45,196,488.96","0.14","45,196,488.96","328,272.00","137.68","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER","Health Care","Equity","43,558,238.72","0.13","43,558,238.72","201,808.00","215.84","United States","NYSE","USD","1.00","USD","-"
"6758","SONY GROUP","Consumer Discretionary","Equity","43,410,844.26","0.13","43,410,844.26","1,849,100.00","23.48","Japan","Tokyo Stock Exchange","USD","157.48","JPY","-"
"285A","KIOXIA HOLDINGS","Information Technology","Equity","42,519,377.68","0.13","42,519,377.68","122,700.00","346.53","Japan","Tokyo Stock Exchange","USD","157.48","JPY","-"
"SAF","SAFRAN SA","Industrials","Equity","42,502,123.97","0.13","42,502,123.97","112,021.00","379.41","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"AIR","AIRBUS GROUP","Industrials","Equity","42,310,899.58","0.13","42,310,899.58","189,335.00","223.47","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"NEM","NEWMONT","Materials","Equity","42,236,543.35","0.13","42,236,543.35","343,247.00","123.05","United States","NYSE","USD","1.00","USD","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","42,115,055.65","0.13","42,115,055.65","678,329.00","62.09","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"UCG","UNICREDIT","Financials","Equity","41,955,206.22","0.13","41,955,206.22","436,797.00","96.05","Italy","Borsa Italiana","USD","0.87","EUR","-"
"BKNG","BOOKING HOLDINGS","Consumer Discretionary","Equity","41,706,677.76","0.12","41,706,677.76","247,488.00","168.52","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS","Health Care","Equity","41,349,934.08","0.12","41,349,934.08","80,964.00","510.72","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","40,856,544.24","0.12","40,856,544.24","652,452.00","62.62","United States","NYSE","USD","1.00","USD","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","40,714,053.98","0.12","40,714,053.98","1,020,349.00","39.90","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.52","DKK","-"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","40,669,883.81","0.12","40,669,883.81","270,093.00","150.58","Korea (South)","Korea Exchange (Stock Market)","USD","1,381.35","KRW","Jun 07, 1993"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","40,529,705.20","0.12","40,529,705.20","246,760.00","164.25","Germany","Xetra","USD","0.87","EUR","-"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","40,455,530.08","0.12","40,455,530.08","667,260.00","60.63","Singapore","Singapore Exchange","USD","1.28","SGD","Jan 01, 1998"
"UBER","UBER TECHNOLOGIES","Industrials","Equity","40,270,202.28","0.12","40,270,202.28","568,467.00","70.84","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT","Real Estate","Equity","40,232,600.40","0.12","40,232,600.40","296,220.00","135.82","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING","Information Technology","Equity","40,186,328.48","0.12","40,186,328.48","252,776.00","158.98","United States","NYSE","USD","1.00","USD","-"
"8411","MIZUHO FINANCIAL GROUP","Financials","Equity","39,945,785.36","0.12","39,945,785.36","740,490.00","53.95","Japan","Tokyo Stock Exchange","USD","157.48","JPY","-"
"PGR","PROGRESSIVE","Financials","Equity","39,648,766.64","0.12","39,648,766.64","186,811.00","212.24","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL","Financials","Equity","39,323,382.34","0.12","39,323,382.34","97,222.00","404.47","United States","NYSE","USD","1.00","USD","-"
"BMO","BANK OF MONTREAL","Financials","Equity","39,034,383.50","0.12","39,034,383.50","219,839.00","177.56","Canada","Toronto Stock Exchange","USD","1.40","CAD","-"
"PH","PARKER-HANNIFIN","Industrials","Equity","38,342,130.72","0.11","38,342,130.72","40,016.00","958.17","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","38,088,275.48","0.11","38,088,275.48","185,869.00","204.92","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","37,864,854.72","0.11","37,864,854.72","112,272.00","337.26","United States","NYSE","USD","1.00","USD","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","37,524,874.67","0.11","37,524,874.67","197,961.00","189.56","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"MPC","MARATHON PETROLEUM","Energy","Equity","37,489,342.22","0.11","37,489,342.22","93,169.00","402.38","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","37,340,593.23","0.11","37,340,593.23","94,949.00","393.27","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","37,282,245.50","0.11","37,282,245.50","406,346.00","91.75","United States","NYSE","USD","1.00","USD","-"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","37,025,569.64","0.11","37,025,569.64","387,611.00","95.52","Canada","Toronto Stock Exchange","USD","1.40","CAD","-"
"BNP","BNP PARIBAS SA","Financials","Equity","36,986,146.62","0.11","36,986,146.62","318,868.00","115.99","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"2308","DELTA ELECTRONICS","Information Technology","Equity","36,961,519.08","0.11","36,961,519.08","626,000.00","59.04","Taiwan","Taiwan Stock Exchange","USD","31.76","TWD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","36,172,121.37","0.11","36,172,121.37","527,829.00","68.53","United States","NYSE","USD","1.00","USD","-"
"MC","LVMH","Consumer Discretionary","Equity","36,135,356.21","0.11","36,135,356.21","77,672.00","465.23","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","36,117,064.93","0.11","36,117,064.93","194,063.00","186.11","United States","NYSE","USD","1.00","USD","-"
"BATS","BRITISH AMERICAN TOBACCO","Consumer Staples","Equity","36,072,587.09","0.11","36,072,587.09","647,460.00","55.71","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BP.","BP PLC","Energy","Equity","35,928,574.81","0.11","35,928,574.81","4,948,517.00","7.26","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"SNOW","SNOWFLAKE","Information Technology","Equity","35,857,232.28","0.11","35,857,232.28","105,652.00","339.39","United States","NYSE","USD","1.00","USD","-"
